Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],100,Sturm 2019,
# Negative electrode conductivity [S.m-1],215,Chen 2020,graphite
Maximum concentration in negative electrode [mol.m-3],34257,,
Negative electrode diffusivity [m2.s-1],[function]sic_diffusivity,,
Negative electrode OCP [V],[data]SiC_OCP,,
,,,
# Microstructure,,,
Negative electrode porosity,0.216,Sturm 2019,
Negative electrode active material volume fraction,0.694,Sturm 2019,
Negative particle radius [m],6.1e-6,,
Negative electrode Bruggeman coefficient (electrolyte),1.5,Sturm 2019,theoretical
Negative electrode Bruggeman coefficient (electrode),1.5,default,
,,,
# Interfacial reactions,,,
# Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Negative electrode charge transfer coefficient,0.5,,
# Negative electrode double-layer capacity [F.m-2],0.2,,
Negative electrode exchange-current density [A.m-2],[function]sic_electrolyte_exchange_current_density,,
,,,
# Density,,,
# Negative electrode density [kg.m-3],1657,default,
,,,
# Thermal parameters,,,
# Negative electrode specific heat capacity [J.kg-1.K-1],918.8,,
# Negative electrode thermal conductivity [W.m-1.K-1],1.7,,
Negative electrode OCP entropic change [V.K-1],[data]SiC_dUdT1,,
