Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],0.17,Sturm 2019,
Maximum concentration in positive electrode [mol.m-3],49340,,
# PE diffusivity goes to pe degradation subfolder
Positive electrode diffusivity [m2.s-1],[function]nmc811_diffusivity,,
Positive electrode OCP [V],[data]NMC_OCP,,
,,,
# Microstructure,,,
Positive electrode porosity,0.171,Sturm 2019,
Positive electrode active material volume fraction,0.745,Sturm 2019,
Positive particle radius [m],3.8e-6,,
Positive electrode Bruggeman coefficient (electrolyte),1.85,,
Positive electrode Bruggeman coefficient (electrode),1.5,,
,,,
# Interfacial reactions,,,
# Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Positive electrode charge transfer coefficient,0.5,,
# Positive electrode double-layer capacity [F.m-2],0.2,,
Positive electrode exchange-current density [A.m-2],[function]nmc811_electrolyte_exchange_current_density,,
,,,
# Density,,,
# Positive electrode density [kg.m-3],3262,default,
,,,
# Thermal parameters,,,
# Positive electrode specific heat capacity [J.kg-1.K-1],918.8,,
# Positive electrode thermal conductivity [W.m-1.K-1],2.1,default,
Positive electrode OCP entropic change [V.K-1],[data]NMC_dUdT1,,
